Score,Text
1.0,"Received this as a gift from my husband. He had it gift wrapped and held it for the occasion. When I opned the bracelet, we were both very disappointed. The quality was very poor and bracelet did hand nicely on the wrist. He contacted the seller through Amazon to request a refund. They refused to refund or exchange the item. Unfortunately he had not opened the item when it was received, since it was gift wrapped. He held it beyond their return window, as he was saving it to be gifted. I called the vendor myself to explain and seek a compromise. They were unyeilding, explaining that they could not return the bracelet to their vendor or restock it, so we were out of luck. Beware of the return policy with this vendor especially if it is a gift."
5.0,Good buy. So far no problem using it.Good for casual occasions.
5.0,"I bought several tie bars for my father, and this is his favorite. He really likes it. I wish they had one in gold, also."
5.0,
3.0,"Its not surgical steel, its like. chrome or something. It totally rusted!!! But it looks cute none the less."
5.0,Got to me pretty quickly and there were no unpleasant surprises. looks exactly like the picture!
5.0,I found the gold charm was everything that was advertised about it. My only concern was it was a little big for my granddaughter's bracelet but as she is only six she will eventually be wearing larger charms
5.0,"I love amethyst and this ring was exactly as described/pictured. I wear it often. I feel this ring needs to be cleaned on a regular basis because it tarnishes but I clean all my silver jewelry on a regular basis for the same reason. I put this ring on my Amazon Wish List and received it as a gift. I really like it! It fits because I know my ring size so make sure you know your size before ordering. This company has an excellent return policy so if you get your size wrong, you can always exchange it for the right size with minimal hassle. Great customer service. I've bought from this company before and always had a good experience."
3.0,"Very Beautifull Ring and nice design, i bought this armor ring and it is same as on the Picture,now i have a set, Thank you again."
,"Being a Born Again Christian of Jewish descent, I am thrilled with the Star of David/Cross Pendant. It is beautiful. I haven't taken it off since it arrived.I am more than pleased with the quality of the pendant and the service."
5.0,"The order came in a timely manner, It was in perfect condition. I was greatly please with the service and the product."
5.0,"As with two other rings I just bought from HopeChestJewelry, the blue stone in this ring is much more dull-looking compared to the picture. But the ring design is strikingly unique and its craftsmanship is superb. I'm very happy with my purchases and highly recommend this ring (and the other two)."
,"I get a lot of compliments on this necklace when I wear it. The chain is heavy enough to be sturdy, but not too bulky. The amethysts are very deep in color and have good clarity. Recommended."
3.0,"There's nothing wrong with this necklace, but there's nothing that great about it either. The sapphire was a much darker blue than pictured and the whole piece was smaller than advertised. While I don't really have much to complain about, I just wasn't overly impressed."
5.0,"Round Cut Citrine Dangling Earrings Sterling SilverThese earrings are lightweight, well made and the citrine is lovely and bright. Am always pleased with items purchased from Peora."
1.0,"The ring sizes run much smaller than the usual and the ring is so wide that you can't close your hand when it is on. Returning the item was even more difficult. While I returned it within one week of purchase, it took 7 weeks and a complaint filed with Amazon to get my refund. If you do purchase from this seller & ultimately have to return something be very sure you get a tracking number or receipt confirmation. Without that I would still be waiting for my money."
3.0,Am only collecting these for the butterfly theme I am going for . Love the color though . yada yada
3.0,This charm is pretty clips onto other charms well but it is not emerald green it's a bright grass green. I still like the charm but was disappointed it wasn't a dark emerald green
3.0,Good Items Just Needs Some Work On The Details/Description Overall I Recommend Using The Site/App For Your Next Purchase You Might Save Time And Money
5.0,"This is a great addition to your Italian charm bracelet, even if you aren't born in June! However if you are a June baby, like myself, it's a clever way of showing that off without being too obvious ;)"
5.0,This necklace is even more beautiful than the pictures can convey. The chain is very strong so you don't worry about it breaking. The Topaz Gemstones are a perfect blue and just elegant. I receive several compliments every time I wear it.
5.0,"This necklace is absolutely gorgeous! The chain is a nice, thick one, not too small and delicate. The stones are a very clear, vibrant blue. Can't wait to wear it for my wedding!"
5.0,"I surprised my wife with these after she lost one of a previous, similar pair in the ocean. She loves them and has had many people admire them. They are well made."
5.0,I love this pendant! It is a beautiful color of blue and goes with just about anything. I get a ton of compliments everytime that I wear it.
5.0,She loved it !!Thanks for the fast service. (Sorry I am so slow with the feedback)
2.0,"this is a really pretty ring, but, since it is ""rolling"" type ring, the gems fall out quite easily. Also, there are two gold bands, and one silver band, instead of three different colored bands (gold, rose and silver, etc), which would have made more sense. The two gold, one silver just looks odd. I got a lot of compliments the first few days I had the ring, but after that the gems fell out, so, I don't wear it at all."
5.0,Classy and perfect assembly!Have used it a couple of times and it grabs the looks!Nothing more to say - good for the price.
5.0,"Very very happy with this purchase, and will be ordering more through this vendor! They came to my mailbox within a week and I had them in time for a nice evening out. Thank you!"
5.0,This is a gorgeous ring. I love the unique design and how it sparkles and shines. I've received some very nice compliments too.
5.0,I am very glad I made this purchase. I can't stop looking at my hand when I wear this. The only thing I wish was different is that it would be real silver but I didn't pay that much for it so I am very happy!
4.0,"It fits, it is pretty and it is just the right size. It hasn't broken in half and I haven't swallowed it yet, so I guess I've gotten my moneys worth :)"
3.0,"Arrived in a very pretty box. The silver and the CZ's were a bit bigger than I would have liked, which made it seem a little costume-y."
5.0,"I've been looking for a garnet necklace that I like forever, and I've finally found it! I disagree with the previous reviewer, I don't think it's ""costume-y"" at all. The design is lovely and classic, and I'll be wearing this for years to come."
2.0,"I bought this ring just for ring size testing, so the quality is not a problem for me. But there are something about this ring and it's center stone that i think i should let other buyers know in advance. I highly doubt the material is CZ(Cubic Zirconia). Through carefully observing under the x30 jewelers scope, the refractive index of the center stone seems to be very low, about 1.6, which is very close to glass but not CZ. Typically, a CZ has a refractive index around 2.15. And diamond is 2.4. For those who does not know what i was talking about, let's put it this way: The center stone does not sparkle at all and it looks cloudy...I guess i wont return it since it is very cheap..."
4.0,"I plan on taking some pictures of this ring because the one picture for the description is beautiful but leaves a lot to the imagination.The blue isn't as green as the picture shows, and it's a little lighter, but it's otherwise very close to the color shown. It's a very beautiful ring! The silver is stunningly bright and shiny. Size is perfect. The stone is very high, though, which is hard to tell from the picture. But I've never had a solitaire ring with a rock this big, so I bet that it has to be this tall.All in all, it's an absolutely beautiful ring, especially considering the price."
5.0,"I actually bought this to wait until my actual engagement ring came in. I have to tell you everyone loved this ring SO much I returned my engagement ring and kept it! Of course I did not tell them the price LOL! When it needs to be cleaned i put it in some sea salt and it comes out beautiful , with great fire!"
5.0,"The jewelry arrived in a timely fashion and just as described. What really sets Steel Navel apart for me is their customer service. My items were backordered and Customer Service kept me apprised of the situation and offered an alternative item which could deliver faster. This was a fairly basic order, but Steel Navel's Customer Service means I'll be coming back to them directly in the future."
1.0,"I ordered a black titanium barbell. Once i recieved it, not even a day later black paint was chipping off my ""titanium ring."" Obviously the ring wasn't titanium, but painted steel, manipulatinf titanium."
1.0,"I had ordered this for my girlfriends birthday, her birthstone being amethyst i thought i was getting a good deal on a nice piece. I was wrong. The stones have very VERY little purple in them, and frankly it just looks very cheaply made. And that is not the worst of it. When i was opening the box i could hear something jangling around, it turned out to be one of the stones that had already fallen out of the bracelet. I WILL be returning this item and i urge you the customer not to waste your time here."
3.0,"Bracelet was nice and as described. Clasp is hard to work and stones have very little purple color. However, I think it is a fair value."
1.0,"This is made OK. The stones are washed out, no color. Purchased for gifts but will not give them as it will embarrass me. I would have returned them but I was traveling and missed the deadline."
3.0,"I purchased this necklace as a gift. At the amount it is was discounted, I thought I would be getting the most amazing deal for the price. The necklace I recieved was as pictured, but the stones where smaller than I believed them to be.The necklace is pretty, delicate, and was still a nice gift. The stones are a very nice light blue color. However, the original price before discount was extremely overinflated. I would never in a million paid over $150 for this necklace. The necklace doesn't look expensive, and the links made them look moderately cheap. My price (about $30) was probably the correct value, disguised as a deep discount."
2.0,"but when you put the necklace on, you can't even see either the sparkle, or the beauty of it. The stones are very small, which is expected. What is not expected is that the stones are linked by 3...(Meaning, 3 stones seem to be soldered together, then connected to 3 more stones, etc.) This made for an awkward appearance when worn since it's not ""fluid."" In other words, the necklace would ""flip"" constantly, and all you saw was silver and not the ""topaz.""I considered keeping it anyways because the price was great, the stones are sparkly and the color pretty, but the 18"" wouldnt fit 3x around my wrist (2x made it too large) to be worn as a bracelet of some sorts.Unfortunately, this will have to go back. I wish it was better designed for more movement of each stone so that it laid better against the skin."
1.0,"Poorly made, washed out stones. Cannot use for gifts because the quality is so terrible. Would have returned but missed return deadline due to travel. Stuck with them."
4.0,"I actually liked it very much and bought it in all three colors --peridot, amethyst and topaz. They very clearly state 3mm, hence I did not expect it to be big. The setting is more prominent than I would like but pretty all the same and seems secure."
4.0,"The stones are so small you can hardly see them. But my wife loved it, and it looks good on her. She likes her jewelry more subtle than gaudy."
4.0,"The stones are a bit small, and not as colorful as the picture, but the necklace is beautiful and well made. Interesting clasp with a non-rolling chain. Nice."
1.0,"This is a very poor quality necklace. I needed to take it in direct light before I could see any stones, nothing like picture shown. No bill in the box, so sadly, I am unable to return."
3.0,"I first ordered this thinking it was incredibly cheap without realizing that this is for ONLY ONE EARRING forcing me to buy a second. While it is still relatively inexpensive and my wife did not have any adverse reactions to the post material, the diamonds are very very small and can be difficult to see with the size of the mount."
4.0,"I picked out this bracelet for my 25th anniversary. I wanted something with diamonds, although these are pretty small. I like that it looks good with both casual and more formal outfits. I would have preferred if it were a little longer. Also, I've had to repair the clasp, which didn't seem to be too strong. It was bent out of shape. Overall, I'm pretty satisfied with the product for the money."
5.0,"My husband purchased this ring as my belated engagement ring in January, and it is simply breathtaking... much bigger than it seems in the pictures...and so much more beautiful. I will treasure it forever."
5.0,Purchase for myself and a relative. We are both Redskins fans and loved the earrings.
5.0,"This ring is the perfect size--not too big for my size 7 ring finger. The stones are beautiful and shiny, and they don't look fake. It's a very classy ring."
5.0,Earrings came quickly and as described. Hard to find these little peace sign earrings in a style that is not obnoxious. Perfect gift for 70's sister.
2.0,"For the money ~ I was very disappointed in these earring and I wrote to the seller right a way.I had to go away on a family reunion but I did not even bring them ~ they are not classey looking at all. For Chalcedony I was so sadly let down. Think Twice is my advice! Lynn C. ~ South Jersey, N. J."
5.0,One of my best friends wanted these for her birthday. She got them and loved them. She said they looked just as nice in person as the picture shows.
5.0,"The earrings are perfect. I've been wearing them every day since receiving them. Great and easy transaction. Very, very satisfied. Thank you."
3.0,"Bought these recently when Amazon was running a special of $15.00 off on the price and free shipping...So I only paid $14.99 for these earrings. When I received them I was taken by how pretty they were, but couldn't figure out if they were white stones or blue! The blue topaz in these earrings was so light that they looked almost like white stones. In that I was disappointed, but in everything else very pleased. A value at $14.99 but I would not have paid $29.99 for these earrings with the poor stone color. Problem is: you don't know until you get them!"
5.0,"As others have mentioned, the color of the gems is a VERY pale blue, almost white. However, they are quite sparkly, and I actually think I wear them more than if they were a richer blue shade.I've received many compliments, and usually people think they are diamonds. For a very reasonable price (got them when Amazon ran the 14.99 special), these are a great value!"
1.0,"This was a case of you get what you pay for! The price was excellent but the stones are barely a blue color at all - not very pretty. Additionally, I am not able to wear them because the metal prong that is supposed to go through your ear is so thick (I don't wear earrings all the time, so the holes in my ears are not stretched out at all!) I was unable to get it through my ears!"
2.0,"I purchased these earrings for myself, and when they arrived I knew right away they did not look like blue topaz. They are a very pale blue, and look like aquamarine instead. Also, the posts are unusually wide, and are difficult, and somewhat painful, to insert in the ear if you're used to the more common thin posts."
1.0,"I really am confused in why this item got so many positive reviews?! Perhaps I just got a dud?! Blue topaz is my birhtstone, and seeing the size of these, I thought these would be the perfect kind of earrings to put in and forget about....Mind you, I own many blue topaz pieces...but these were barely blue at all! And the silver pieces in between the stones? Well, it just blended the stones in even more to a washed out faded look! Seriously, I couldnt even tell these were blue topaz.Unfortunately, these went back. I wanted blue topaz, not some pale whitish stones..."
,"I love this earring! The blue topaz is a lighter shade of blue, but it's pale with no cloudiness so it is very sparkly. The hoop size is very comfortable and the unique post/hinge/clasp is great, (no backings to lose!). I have to say it's great for that everyday goes with everything wearability. For the low price, you can't go wrong. (And even better if it's on special!!)"
4.0,"I bought these as a gift, and as someone else mentioned, they are not very blue at all. They almost look white. However, they are still beautiful earrings. She loved them! The clasp is a little strange. It took me a minute to figure out how to open them. It is not a traditional clasp for earrings. This may bother some people. I don't think I would like it but my gift recipient didn't seem to mind."
,"I'm very happy with the look and quality of these earrings. The blue topaz stones are lighter in color than pictured, but still very nice."
5.0,My daughter's nick name is Banana and I wanted a charm to wear with some other charms from my husband. This little banana charm was exactly what I was looking for!
5.0,"Very cute charm! I bought the sterling silver, gold plated one. Though, my friend thought it was a pineapple at first so...either way I love it and so did the person I bought it for! The ONLY problem I had with it was due to my own incompetence. I imagined it to be a pendent, and not a charm. But if you are going for a charm this is a great little gift.The details though what I think set it apart from some of the other charms I've gotten."
5.0,"Very small, but very pretty. I wear it often :) I get many compliments on it as well."
5.0,"I was recently looking at some black CZ jewelry at a local retail store. I was not impressed! The stones appeared dull and almost opaque, like black onyx, with none of the sparkle you would expect from something called a 'diamond'. In fact, real black diamonds are frequently not very reflective, either, as they absorb light, unlike white diamonds. So, I was not expecting much from this inexpensive pendant.When I opened the box, I was pleasantly surprised. While this little pendant is slightly smaller than a dime, it will NOT go unnoticed. The stones are well set, substantial in number, and they reflect the light, brilliantly. They look like you would imagine black diamonds should appear, rich and eye-catching.The hidden bail at the back is large enough to take a good sized chain, ribbon, cord, or any other type of attachment. The chain that comes with it is very delicate, and I've already replaced it with a nice snake chain, for an overall richer appearance.I can see this becoming one of my favorite go-to pendants, and I know it will draw many comments. The peace sign symbolism has no age limit, so it's appropriate for all ages, but I bet your favorite teen would LOVE one of these in her Christmas stocking. Because of the sparkle, she could dress it up, or down, to her fancy. It's truly a fun piece!"
5.0,"Always loved the peace symbol in jewelry.. have been wearing it since about 1969 in different forms.I bought this as a Christmas gift for myself and for the price did not expect anything special. It looks much nicer than its picture, and I have had nice compliments on it, especially when worn over a light color.Very satisfied with my purchase."
5.0,"Beautiful and unique looking petite pendant. It wasn't what I expected. I assumed the stones would be ""puffed up"" and sitting away from the setting. The silver setting and prongs are more obvious than photographed, but the intense sparkle and irridescent glow of the blacks stones are what capture's your eyes. The stones are set flush in the setting...almost inlayed...it's a true Peace Sign logo. As small as the stones are, they are still cut like black diamonds. The have that large surface table that allows the stones to absorb and then ""bounce back"" light. This pendant definitely has that diamond sparkle. No one will mistake this for onyx.As my fellow reveiwer stated, a black ribbon would be great with this. I would like a black leather cord, too. I placed mine on a diamond cut, sterling, snake chain that I purchased from Gem Avenue, but will definitely get a satin ribbon for a change up. Then pendent comes with a decent and basic link chain.The pendent certainly is petite, but is captures attention. It's a unique twist on Peace Sign jewelry. It can easily be worn with anything.The seller, PriceRock, has a pair of black CZ stud earrings that goes very well with this pendent. They're under 20. and the have that same rich black color with that same irridescent sparkle and shine. I believe those black CZ earrings are the only pair of black CZ's PriceRock sells.UPDATE: As of this update, Amazon jewelry collection is selling a sterling silver diamond cut sparkle chain....in black rhodium. It's 15 bucks and absolutely perfect for this pendant."
,"The Peace Sign is very small but doesnt take away from the ""WOW"" factor of this necklace. The stones really ""glitter"" and catch the light. I was not disappointed at all. Fast delivery. I would order this again. Very Pretty"
5.0,"I read all the reviews on this pendant, bought it myself and LOVE IT! I even left it on the delicate chain it came with as it makes the black peace sign stand out all on it's own. I wanted to purchase this in the green (one of my favorite colors) but after reading the reviews that stated how well the black zirconia made the piece stand out I changed my mind. It looks expensive and was a bargain price wise."
5.0,
5.0,"The other reviews helped me decide to purchase this item. I was not disappointed. I am pleased with the quality, and particularly like the large bale on the back that enables you to use a thicker chain."
5.0,THESE EARRINGS ARE BREATH-TAKINGLY BEAUTIFUL. THE COLOR AND THE SIZE OF THE STONES IS RICH AND SUBSTANIAL. IT IS WELL-MADE. I LVE THIS EARRINGS.
3.0,"A bit disappointed by the quality - very small stones, and delicate chain. It looked more substantial in the advert. However, given its price reasonable value for money."
5.0,This is a great ring. I purchased it for my fiance's wedding ring. I know he will enjoy it.
3.0,"The ring I received is very nice, but it looks quite bit different from what is pictured. The ring on the picture looks carved on a polished background where the Celtic Knot is contiguous. The ring I received is laser etched with several independent Celtic Knots in groups of 4. So nice ring, but not as advertised."
5.0,I live in California and this product took just 2 days to arrive! The picture does not do the ring justice and it looks even better in real life!
,"Bought this ring as a matching set a year and a half ago for my husband and I to wear as our everyday wedding band. They still look as good as they did when they arrived.( and my husband is a military man so his ring takes some abuse ) stop thinking about it and buy this is all i can say, you will NOT regret it!"
,I bought this ring for my boyfriend for Christmas. I searched for about 4 hours looking at all the different celtic knot rings and this one caught my eye and rightfully so. It's so lightweight yet beautifully designed.The picture does not do it justice but does have the same look as the photo. I ordered this on Sunday and received it the following Tuesday. Needless to say it was very speedy and the price is absolutely worth it. I will definitely buy from this seller again. I could not be happier.
5.0,"I recieved this in less than 2 days. Bought this for the fiance for his birthday, he's not use to wearing rings but i wanted to point out that this ring is pretty wide and thick, he'll just have to get use to it. Its a great product and an even great price!"
5.0,"I ordered this ring early AM on Mar 3rd, it was in my mailbox in Ca. when I got home on the 4th. Looks just like the picture, fits like a dream and because its made of titanium even the size 14 I ordered to wear as a thumb ring weighs almost nothing. I truly could not be more pleased. Great job. Great ring."
5.0,"i've bought this ring from Sabrina Silver twice now, and BOTH times I have been MORE than satisfied with both the speed of receipt as well as the high quality of her products. I highly recommend the product and the seller!"
5.0,The order process was smooth. I received the ring in about a week. Although not the correct product. After a minor search I was able to find the return policy and returned the incorrect for the correct with no hitch. I received the correct ring about a week ago. I am very happy. I will in the future buy more gifts from Sabrina Silver.
5.0,"This ring looks much more expensive, I'm very happy.(If you have big hands or long fingers, will look better, remember is a 10mm ring)"
,Titanium is very lightweight to wear and very strong.The pattern is beautiful. Nice wide band. Highly recommended. True to size.
,"I ordered from Sabrina Silver and could not be happier with the service that I recived. When I ordered two new wedding bands for my huband & I ( our fist anniversary), I ordered the wrong size. Sabrina told me to ship the ring back and they would exchange it and ship the new band for free. The rings were back to me within a week and a half. They get a FIVE STAR rating from, WYOMING. THANK YOU AGAIN, SABRINA The rings are wonderful... My husband was thrilled!!"
5.0,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
1.0,"The chain is so thin and flimsy, I'm afraid that if I wear it I'll lose it. I think that it might fall off of my neck. Years ago, I had a similar chain that did that, but I only paid about $6.00 or $7.00 for it. It was sterling silver, too. And, the whole necklace is so little and scarce. The way that it was made to look in the adverisement made me feel like I was really getting a good deal. Instead, I feel like I got taken. I thought that the chain would at least be thicker and stronger--I mean, for $30.00. If I could've seen the actual chain before buying it, I wouldn't have paid more than $10.00 for it."
,"I gave this to my 10 yr old granddaughter, she absolutely loves it. It is a perfect gift to gove"
1.0,i never get the item but was my fault i order to other adress sorry but i guess is a good product
5.0,My girlfriend absolutely loved this. She really isn't a jewelry person and is very hard to pick stuff out for but she wears this constantly. Its smaller than I imagined it but I think that is why she liked it so much. She has gotten a lot of compliments while wearing it.The chain did end up breaking but it was her fault and not really a product defect she took her shirt off while it was still on and the chain got caught on her shirt as she did that and snapped. Just bought a replacement chain and she is wearing it all the time again.
3.0,"I always wanted to buy a lock and key pendant necklace. Here I am expecting something else but it is not bad. It is cute but the chain did break after a week and I use my own. Would I recommend this, not really unless you are into small jewelry."
5.0,This necklace is one of my favorites. It's not large so it's a great size to wear all the time. I get lots of compliments on it and it's comfortable to wear. I'm very happy with this necklace.
2.0,I bought this pendant because was nice in the picture and also had a 50% discount but in reality looks very cheap the chain is very thin and fragile...
5.0,"Absolutely one of the most beautiful little necklaces around. Get it and you will get lots of compliments on how nice it is. I was so happy that I purchased it.I had been looking for over three years for the perfect heart and key set, and this is it. Very nice weight and size and very expensive looking.Trust me if you get it or give it, you'll be pleased."
,
5.0,"This is a beautiful little pendant. The chain is somewhat of a throw-away, but it was bought to go on something more substantial for my 10 year old niece. The bale does accomodate larger chains. The charm is small enough for a child, but large enough for an adult. She loved it and will enjoy it for a long time."
4.0,"I bought this for myself, and I really like it. The heart and key are very pretty, and as long as you keep it clean, there is a nice sparkle to it. The only reason I didn't give it five stars is because of the chain it comes with. It is very thin and easily tangles. I ended up ordering a new thicker chain for it, and now it's perfect."
3.0,"This is a cute little pendant from the front, but the backs of the key and lock aren't finished, so when they get turned around, which will ultimately happen since they're hanging on a chain, the not-so-pretty side will show. I'm satisfied with it for the price, though. I like the bale the charms hang from as it can be put on various sizes of chains. I plan to take the key and lock off and try them as earrings, too."
5.0,
5.0,i gave this as a gift for my friend she love it. i like it so much that i am ordering another for me. looks beautiful well crafted.thank you so much.
4.0,"I love this chain, it's not to big but def not small either, it's just Enough...Really Cute"
4.0,"The charm is pretty small but for the price, it can't be beat. It had a very high 'you're sooooo sweet' to money ratio. Can't argue with that!"
3.0,"it's probably my fault, but this is a very small pendant. sized more for a child than an adult. the chain is also very thin. there are many other pendants to choose from in this price range and I wish I chose one of them."
,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
5.0,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
5.0,
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
5.0,I gave it to my son's teacher last Christmas and she said she loved it!!!! It got a lot of compliments. Wished I bought one for myself:(
5.0,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
,"I bought these for my mom she loved them! The only thing is that I thought they would be a bit champagne colored, but they are actually pretty true white, but gorgeous none-the-less."
5.0,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,
5.0,
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
5.0,The Morning Glory Oval Opal and Diamond Ring is a must have. The opal is beautiful. The diamonds that suround the opal are wonderful too. The diamonds are a wonderful eye catcher if the beautiful opal does not catch the eye first. It is everything a woman could ask for in an opal and diamond ring. If you love opal with diamonds this is a beautiful piece to own.
5.0,"The diamonds sparkle and the opal, which is NOT lab-created, has lovely fire in its pale depths. This ring is lovely!"
4.0,"I really like it, looks real. But I only have had it for 3 weeks. I wear it alot, instead of my wedding rings. I will see if it tarnishes. Hope not. But I did not pay much for it. Hey I recommend it. It is real a good deal for what I payed!"
4.0,"This ring is pretty, it can go good with another ring. It narrow and the stone size is small by it self. It would be a good thumb ring. Again nice ring that does not have alot of bling."
